,Precinct,Opponent 2020,Rebecca Keller Smondrowski 2020,Rebecca Keller Smondrowski Percentage 2020
0,1001,1082,390,0.264945652173913
1,1002,1032,432,0.29508196721311475
2,1003,1756,781,0.3078439101300749
3,1004,1202,522,0.302784222737819
4,1005,1187,485,0.2900717703349282
5,1006,798,320,0.28622540250447226
6,1007,161,60,0.27149321266968324
7,2001,1865,781,0.29516250944822375
8,2002,1414,607,0.30034636318654134
9,2003,1415,707,0.33317624882186614
10,2004,1778,817,0.31483622350674373
11,2005,1361,613,0.3105369807497467
12,2006,1908,826,0.302121433796635
13,2007,75,21,0.21875
14,2008,1516,595,0.2818569398389389
15,2009,167,68,0.28936170212765955
16,2010,702,309,0.3056379821958457
17,2011,1754,636,0.26610878661087867
18,3001,1647,617,0.27252650176678445
19,3002,1430,497,0.25791385573430203
20,4001,1591,743,0.318337617823479
21,4002,1125,546,0.3267504488330341
22,4003,1398,722,0.34056603773584904
23,4004,904,484,0.34870317002881845
24,4005,1095,481,0.3052030456852792
25,4006,1163,534,0.3146729522687095
26,4007,1012,485,0.3239812959251837
27,4008,1393,773,0.35687903970452445
28,4009,759,388,0.33827375762859635
29,4010,924,510,0.35564853556485354
30,4011,161,81,0.3347107438016529
31,4012,1276,573,0.30989724175229855
32,4013,939,522,0.35728952772073924
33,4014,1408,666,0.32111861137897785
34,4015,634,306,0.32553191489361705
35,4016,1474,696,0.3207373271889401
36,4017,852,476,0.35843373493975905
37,4018,1112,495,0.3080273802115744
38,4019,728,353,0.3265494912118409
39,4020,1268,556,0.3048245614035088
40,4021,1027,553,0.35
41,4023,110,33,0.23076923076923078
42,4024,1004,399,0.2843905915894512
43,4025,605,339,0.3591101694915254
44,4026,1018,507,0.3324590163934426
45,4027,236,119,0.3352112676056338
46,4028,529,292,0.3556638246041413
47,4029,478,201,0.2960235640648012
48,4030,908,492,0.3514285714285714
49,4031,1034,547,0.3459835547122075
50,4032,427,229,0.3490853658536585
51,4033,89,43,0.32575757575757575
52,4034,912,435,0.32293986636971045
53,4035,115,68,0.37158469945355194
54,4036,0,0,X
55,4037,259,132,0.3375959079283887
56,4038,37,23,0.38333333333333336
57,4040,45,26,0.36619718309859156
58,4041,0,0,X
59,4042,3,1,0.25
60,4043,9,3,0.25
61,5001,1365,650,0.3225806451612903
62,5002,1181,544,0.3153623188405797
63,5003,1664,824,0.3311897106109325
64,5004,765,395,0.34051724137931033
65,5005,959,442,0.31548893647394716
66,5006,1421,651,0.3141891891891892
67,5008,1313,506,0.27817482133040133
68,5009,1521,716,0.32007152436298614
69,5010,855,332,0.2796967144060657
70,5011,1046,465,0.30774321641297153
71,5012,1818,860,0.32113517550410753
72,5013,1731,729,0.29634146341463413
73,5014,917,385,0.2956989247311828
74,5015,1108,509,0.3147804576376005
75,5016,1344,645,0.32428355957767724
76,5017,1138,512,0.3103030303030303
77,5018,674,272,0.28752642706131076
78,5019,903,422,0.31849056603773584
79,5021,1324,588,0.3075313807531381
80,5022,538,277,0.3398773006134969
81,5023,1515,637,0.29600371747211895
82,6001,1044,391,0.2724738675958188
